,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,horsepower-bin,fuel-type-Diesel,diesel ,fuel-type-Gas,gas 
0,3.0,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,0.7575757575757576,13495,11.200714285714286,8.711666666666666,low,0,0,1,0
1,3.0,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,0.7575757575757576,16500,11.200714285714286,8.711666666666666,low,0,0,1,0
2,1.0,122,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9059474412171508,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,0.7575757575757576,16500,12.379736842105263,9.04673076923077,Medium,0,0,1,0
3,2.0,164,audi,gas,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.9156293222683265,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,0.8333333333333334,13950,9.800625,7.8405000000000005,low,0,0,1,0
4,2.0,164,audi,gas,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.9183955739972338,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,0.8333333333333334,17450,13.0675,10.691590909090909,low,0,0,1,0
5,2.0,122,audi,gas,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.91701244813278,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,0.8333333333333334,15250,12.379736842105263,9.4086,low,0,0,1,0
6,1.0,158,audi,gas,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,0.8333333333333334,17710,12.379736842105263,9.4086,low,0,0,1,0
7,1.0,122,audi,gas,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,0.8333333333333334,18920,12.379736842105263,9.4086,low,0,0,1,0
8,1.0,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,0.8333333333333334,23875,13.836176470588235,11.76075,Medium,0,0,1,0
9,2.0,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,0.8787878787878788,16430,10.226739130434783,8.110862068965517,low,0,0,1,0
10,0.0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,0.8787878787878788,16925,10.226739130434783,8.110862068965517,low,0,0,1,0
11,0.0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,0.6439393939393939,20970,11.200714285714286,8.400535714285715,Medium,0,0,1,0
